tag,graph_type,capacity_level,symmetry,n_players,n_nodes,n_edges,n_layers,n_width,seed,brd_found_pne,brd_time,brd_alpha,initial_pne_cost,gzr_status,gzr_mip_gap,gzr_obj_bound,gzr_cuts,gzr_br_calls,gzr_time,gzr_obj_val,gzr_first_pne_time,best_pne_cost,so_status,so_cost,so_time,pos
E_tight_asymmetric_n8_L3W8_s0,layered,tight,asymmetric,8,24,94,3,8,,True,0.1700944900512695,1.0,103.0,OPTIMAL,0.0,84.0,0,24,0.953425407409668,84.0,0.4597477912902832,84.0,OPTIMAL,84.0,1.4580211639404297,1.0
E_tight_asymmetric_n8_L5W10_s0,layered,tight,asymmetric,8,50,301,5,10,,True,0.5986785888671875,1.0,84.0,OPTIMAL,0.0,73.0,0,24,7.689680576324463,73.0,1.4671761989593506,73.0,OPTIMAL,73.0,10.714854001998901,1.0
E_tight_asymmetric_n8_L5W3_s0,layered,tight,asymmetric,8,15,28,5,3,,True,0.1156141757965087,1.0,107.0,OPTIMAL,0.0,89.99999919739167,0,24,3.681021928787232,89.99999863724989,0.2410476207733154,90.0,OPTIMAL,90.0,2.063861846923828,1.0
E_tight_asymmetric_n8_L5W5_s0,layered,tight,asymmetric,8,25,73,5,5,,True,0.1527700424194336,1.0000000000000002,96.0,OPTIMAL,0.0,89.00000000000661,0,24,3.4141979217529297,89.0,0.3679959774017334,89.0,OPTIMAL,89.0,2.1104800701141357,1.0
E_tight_asymmetric_n8_L5W8_s0,layered,tight,asymmetric,8,40,188,5,8,,True,0.3162624835968017,1.0000000000000002,90.0,OPTIMAL,0.0,73.0,0,24,5.517623662948608,73.0,0.7955260276794434,73.0,OPTIMAL,73.0,5.505465269088745,1.0
E_tight_asymmetric_n8_L8W10_s0,layered,tight,asymmetric,8,80,551,8,10,,True,1.063831090927124,1.0000000000000002,96.0,TIME_LIMIT,0.0753467127948913,68.42434325317805,18,80,600.7375047206879,74.00000000000001,2.530606508255005,74.0,OPTIMAL,70.0,139.69303035736084,1.0571428571428572
E_tight_asymmetric_n8_L8W3_s0,layered,tight,asymmetric,8,24,50,8,3,,True,0.2080237865447998,1.0000000000000002,125.0,OPTIMAL,0.0,112.0,0,40,60.110618591308594,112.0,0.4054446220397949,112.0,OPTIMAL,112.0,62.67369627952576,1.0
E_tight_asymmetric_n8_L8W5_s0,layered,tight,asymmetric,8,40,127,8,5,,True,0.3693380355834961,1.0000000000000002,131.0,OPTIMAL,0.0,110.0,9,56,168.4195990562439,110.0,0.7676737308502197,110.0,OPTIMAL,110.0,194.70393824577332,1.0
E_tight_asymmetric_n8_L8W8_s0,layered,tight,asymmetric,8,64,339,8,8,,True,0.4556152820587158,1.0000000000000002,75.0,OPTIMAL,0.0,71.0,0,24,13.660939693450928,71.0,1.208967924118042,71.0,OPTIMAL,71.0,10.03359866142273,1.0
F_loose_asymmetric_n2_L10W10_s0,layered,loose,asymmetric,2,100,705,10,10,,True,0.2112722396850586,1.0,34.0,OPTIMAL,0.0,33.0,0,6,2.12329363822937,33.0,0.4321517944335937,33.0,OPTIMAL,33.0,1.5167508125305176,1.0
F_loose_asymmetric_n2_L10W3_s0,layered,loose,asymmetric,2,30,63,10,3,,True,0.0670831203460693,1.0,73.0,OPTIMAL,0.0,66.0,1,8,0.2500090599060058,66.0,0.0959851741790771,66.0,OPTIMAL,66.0,0.126295804977417,1.0
F_loose_asymmetric_n2_L10W5_s0,layered,loose,asymmetric,2,50,165,10,5,,True,0.0575184822082519,1.0,63.0,OPTIMAL,0.0,63.0,0,4,0.3654561042785644,63.0,0.0970962047576904,63.0,OPTIMAL,63.0,0.1872711181640625,1.0
F_loose_asymmetric_n2_L10W8_s0,layered,loose,asymmetric,2,80,445,10,8,,True,0.1294612884521484,1.0,52.0,OPTIMAL,0.0,52.0,0,4,1.0794522762298584,52.0,0.3006057739257812,52.0,OPTIMAL,52.0,0.7591161727905273,1.0
